data;historico;fechamento;varianca_dia;abertura;minimo;medio;maximo;volume;negocios
26/10/2018;85720;85720;1.95;84083.51;83497;84695;85720;19416515976;2142217
25/10/2018;84084;84084;1.23;83124.32;83124;84160;84831;15754273300;1721122
24/10/2018;83064;83064;-2.62;85301.87;83035;84242;85786;13619825051;1467151
23/10/2018;85300;85300;-0.35;85595.34;84032;84926;85595;13457962332;1505351
22/10/2018;85597;85597;1.64;84221.85;84222;85383;85772;11695382969;1307663
19/10/2018;84220;84220;0.44;83845.35;83667;84241;84954;11642676790;1250214
18/10/2018;83847;83847;-2.24;85759.82;83846;84634;85760;12247274241;1361434
17/10/2018;85764;85764;0.05;85713.92;84944;85596;86167;25019664172;1504440
16/10/2018;85718;85718;2.83;83420.01;83420;84940;85718;14346672162;1539038
15/10/2018;83360;83360;0.53;82922.49;82922;83719;84278;20340506395;1491107
11/10/2018;82921;82921;-0.91;83700.4;82607;83526;84749;15005315547;1560745
10/10/2018;83679;83679;-2.8;86084.48;83679;84290;86085;14652405341;1533936
09/10/2018;86088;86088;-0.24;86052.94;85433;86224;86573;17646545693;1803117
08/10/2018;86292;86292;4.82;82324.46;82324;85714;87333;25001750470;2525774
05/10/2018;82322;82322;-0.76;82972.09;82030;82532;83805;14950164879;1590013
04/10/2018;82953;82953;-0.39;83275.01;81892;82471;83430;13875950490;1423589
03/10/2018;83273;83273;2.06;81624.31;81623;83724;85442;22365761643;2248664
02/10/2018;81594;81594;3.78;78625.46;78625;81288;81778;16434041105;1878080
01/10/2018;78624;78624;-0.91;79350.43;78091;78633;79557;8225489761;979641
28/09/2018;79342;79342;-0.82;80000.09;78967;79394;80000;10756072516;1037574
27/09/2018;80000;80000;1.71;78675.71;78676;79680;80107;11996553579;1321154
26/09/2018;78656;78656;0.03;78634.18;78530;78877;79461;10577592205;1312352
25/09/2018;78630;78630;0.83;77979.59;77005;78045;78688;10007462601;1127813
24/09/2018;77984;77984;-1.76;79446.73;77857;78537;79447;7556410995;938211
21/09/2018;79379;79379;1.62;78116.32;78116;79318;80002;12253072256;1145538
20/09/2018;78116;78116;-0.07;78168.66;77820;78185;78944;8246082685;994007
19/09/2018;78169;78169;-0.19;78268.35;77624;78367;79021;9776338989;1161965
18/09/2018;78314;78314;1.99;76780.71;76677;77906;78454;11190430741;1258942
17/09/2018;76789;76789;1.8;75428.42;75227;76215;76893;12329658835;1112552
14/09/2018;75429;75429;0.99;74686.67;74445;75169;75705;8937587322;1157809
13/09/2018;74687;74687;-0.58;75126.02;74501;74878;75407;8524136717;1123549
