@RELATION historico_ibov_cot_dia

@ATTRIBUTE data date "dd-MM-yyyy"
@ATTRIBUTE historico numeric
@ATTRIBUTE fechamento numeric
@ATTRIBUTE varianca_dia real
@ATTRIBUTE abertura real
@ATTRIBUTE minimo numeric
@ATTRIBUTE medio numeric
@ATTRIBUTE maximo numeric
@ATTRIBUTE volume numeric
@ATTRIBUTE negocios numeric
@ATTRIBUTE mms real
@ATTRIBUTE mme real
@ATTRIBUTE d1 real
@ATTRIBUTE tendencia {'baixa', 'sem tendencia', 'alta'}
@DATA

24-10-2018,83064,83064,-2.62,85301.87,83035,84242,85786,13619825051,1467151,83574.0,83574.0,0,'baixa'
23-10-2018,85300,85300,-0.35,85595.34,84032,84926,85595,13457962332,1505351,84182.0,83234.0,0,'alta'
22-10-2018,85597,85597,1.64,84221.85,84222,85383,85772,11695382969,1307663,85448.5,84611.33333333333,0,'alta'
19-10-2018,84220,84220,0.44,83845.35,83667,84241,84954,11642676790,1250214,84908.5,85268.44444444444,0,'baixa'
18-10-2018,83847,83847,-2.24,85759.82,83846,84634,85760,12247274241,1361434,84033.5,84569.48148148147,0,'baixa'
17-10-2018,85764,85764,0.05,85713.92,84944,85596,86167,25019664172,1504440,84805.5,84087.82716049382,0,'alta'
16-10-2018,85718,85718,2.83,83420.01,83420,84940,85718,14346672162,1539038,85741.0,85205.2757201646,0,'baixa'
15-10-2018,83360,83360,0.53,82922.49,82922,83719,84278,20340506395,1491107,84539.0,85547.09190672153,0,'baixa'
11-10-2018,82921,82921,-0.91,83700.4,82607,83526,84749,15005315547,1560745,83140.5,84089.03063557384,0,'baixa'
10-10-2018,83679,83679,-2.8,86084.48,83679,84290,86085,14652405341,1533936,83300.0,83310.34354519128,0,'alta'
09-10-2018,86088,86088,-0.24,86052.94,85433,86224,86573,17646545693,1803117,84883.5,83556.11451506376,0,'alta'
08-10-2018,86292,86292,4.82,82324.46,82324,85714,87333,25001750470,2525774,86190.0,85244.03817168792,0,'alta'
05-10-2018,82322,82322,-0.76,82972.09,82030,82532,83805,14950164879,1590013,84307.0,85942.67939056264,0,'baixa'
04-10-2018,82953,82953,-0.39,83275.01,81892,82471,83430,13875950490,1423589,82637.5,83528.89313018754,0,'alta'
03-10-2018,83273,83273,2.06,81624.31,81623,83724,85442,22365761643,2248664,83113.0,83144.96437672919,0,'alta'
02-10-2018,81594,81594,3.78,78625.46,78625,81288,81778,16434041105,1878080,82433.5,83230.32145890973,0,'baixa'
01-10-2018,78624,78624,-0.91,79350.43,78091,78633,79557,8225489761,979641,80109.0,82139.44048630324,0,'baixa'
28-09-2018,79342,79342,-0.82,80000.09,78967,79394,80000,10756072516,1037574,78983.0,79795.81349543441,0,'alta'
27-09-2018,80000,80000,1.71,78675.71,78676,79680,80107,11996553579,1321154,79671.0,79493.2711651448,0,'alta'
26-09-2018,78656,78656,0.03,78634.18,78530,78877,79461,10577592205,1312352,79328.0,79831.0903883816,0,'baixa'
25-09-2018,78630,78630,0.83,77979.59,77005,78045,78688,10007462601,1127813,78643.0,79047.6967961272,0,'baixa'
24-09-2018,77984,77984,-1.76,79446.73,77857,78537,79447,7556410995,938211,78307.0,78769.23226537573,0,'baixa'
21-09-2018,79379,79379,1.62,78116.32,78116,79318,80002,12253072256,1145538,78681.5,78245.74408845858,0,'alta'
20-09-2018,78116,78116,-0.07,78168.66,77820,78185,78944,8246082685,994007,78747.5,79001.24802948619,0,'baixa'
19-09-2018,78169,78169,-0.19,78268.35,77624,78367,79021,9776338989,1161965,78142.5,78411.0826764954,0,'alta'
18-09-2018,78314,78314,1.99,76780.71,76677,77906,78454,11190430741,1258942,78241.5,78249.69422549846,0,'alta'
17-09-2018,76789,76789,1.8,75428.42,75227,76215,76893,12329658835,1112552,77551.5,78292.56474183282,0,'baixa'
14-09-2018,75429,75429,0.99,74686.67,74445,75169,75705,8937587322,1157809,76109.0,77290.1882472776,0,'baixa'
13-09-2018,74687,74687,-0.58,75126.02,74501,74878,75407,8524136717,1123549,75058.0,76049.39608242587,0,'baixa'
12-09-2018,75125,75125,0.63,74679.79,74499,75120,75680,9786368883,1110627,74906.0,75141.1320274753,0,'alta'
11-09-2018,74657,74657,-2.33,76437.15,74275,74690,76437,9243362734,1285125,74891.0,75130.37734249176,0,'baixa'
10-09-2018,76436,76436,0.03,76416.01,76115,76566,77293,8532343389,1096728,75546.5,74814.79244749725,0,'alta'
06-09-2018,76416,76416,1.76,75098.3,74986,75558,76533,8785214950,1129535,76426.0,75895.59748249908,0,'baixa'
05-09-2018,75092,75092,0.51,74712.14,74276,75019,75370,7744290336,950403,75754.0,76242.53249416636,0,'baixa'
04-09-2018,74712,74712,-1.94,76192.18,74605,75253,76192,8593109179,1179632,74902.0,75475.51083138879,0,'baixa'
03-09-2018,76193,76193,-0.63,76675.48,75729,76269,76675,4648135056,691958,75452.5,74966.50361046293,0,'alta'
31-08-2018,76678,76678,0.36,76385.67,76026,76659,77202,11200905379,1168048,76435.5,75784.16787015431,0,'alta'
30-08-2018,76404,76404,-2.53,78388.83,76372,77066,78389,9758430399,1192289,76541.0,76380.0559567181,0,'baixa'
29-08-2018,78389,78389,1.18,77471.84,77399,78394,78783,8556316400,1078275,77396.5,76396.01865223936,0,'alta'
28-08-2018,77473,77473,-0.59,77927.7,77149,77449,78038,7900781623,1006488,77931.0,77724.67288407979,0,'baixa'
27-08-2018,77930,77930,2.19,76264.27,76264,77468,78008,7325598043,893453,77701.5,77556.89096135992,0,'alta'
24-08-2018,76262,76262,0.83,75647.35,75647,76223,76629,7704753169,1009431,77096.0,77805.6303204533,0,'baixa'
23-08-2018,75634,75634,-1.65,76898.15,75466,76122,77232,10066023420,1228648,75948.0,76776.5434401511,0,'baixa'
22-08-2018,76902,76902,2.29,75171.37,74876,75970,76904,9646451208,1125131,76268.0,76014.8478133837,0,'alta'
21-08-2018,75180,75180,-1.5,76326.79,74915,75760,76340,10881814594,1377305,76041.0,76606.28260446123,0,'baixa'
20-08-2018,76328,76328,0.39,76028.61,75608,76080,76497,17673464618,1164732,75754.0,75655.42753482041,0,'alta'
17-08-2018,76029,76029,-1.03,76816.84,75633,76009,76817,10265032498,1290185,76178.5,76103.80917827347,0,'baixa'
16-08-2018,76819,76819,-0.34,77084.96,76381,77090,77704,9225505494,1161784,76424.0,76053.93639275782,0,'alta'
15-08-2018,77078,77078,-1.94,78613.52,76829,77330,78618,23204289090,1455390,76948.5,76563.97879758594,0,'alta'
14-08-2018,78602,78602,1.43,77498.61,77499,78141,78742,9547346201,1214212,77840.0,76906.6595991953,0,'alta'
13-08-2018,77496,77496,1.28,76513,75931,76802,77689,9909848361,1226495,78049.0,78036.8865330651,0,'baixa'
10-08-2018,76514,76514,-2.86,78766.07,76043,76761,78766,12338538736,1568691,77005.0,77676.2955110217,0,'baixa'
09-08-2018,78768,78768,-0.48,79170.78,78156,78721,79461,10175302256,1354351,77641.0,76901.43183700723,0,'alta'
08-08-2018,79146,79146,-1.49,80346.52,78966,80216,80912,10508224473,1225488,78957.0,78145.81061233574,0,'alta'
07-08-2018,80347,80347,-0.87,81092.69,79923,81008,81742,11907316955,1384430,79746.5,78812.60353744525,0,'alta'
06-08-2018,81051,81051,-0.47,81444.64,80965,81320,81765,7470528707,955485,80699.0,79835.53451248175,0,'alta'
03-08-2018,81435,81435,2.26,79655.71,79656,81233,81792,11108575573,1260097,81243.0,80645.84483749392,0,'alta'
02-08-2018,79637,79637,0.42,79237.2,78573,79444,79896,8735592676,1002243,80536.0,81171.94827916464,0,'baixa'
01-08-2018,79302,79302,0.1,79212.99,78769,79249,79731,9876691200,1088578,79469.5,80148.64942638822,0,'baixa'
31-07-2018,79220,79220,-1.31,80279.31,79016,79303,80279,9582290082,1197995,79261.0,79584.21647546274,0,'baixa'
30-07-2018,80275,80275,0.51,79865.74,79699,80108,80492,7431241015,911897,79747.5,79341.40549182091,0,'alta'
27-07-2018,79866,79866,0.58,79405.45,79405,79823,80251,8662153157,984393,80070.5,79963.80183060697,0,'baixa'
26-07-2018,79405,79405,-1.01,80242.42,79081,79829,80589,11700505570,1054304,79635.5,79898.60061020232,0,'baixa'
25-07-2018,80218,80218,1.34,79154.02,79154,79813,80437,10098849540,1165182,79811.5,79569.5335367341,0,'alta'
24-07-2018,79155,79155,1.49,78005.14,78005,79146,79497,9167758508,1057376,79686.5,80001.8445122447,0,'baixa'
23-07-2018,77996,77996,-0.73,78571.29,77871,78194,78639,7018450878,890879,78575.5,79437.28150408156,0,'baixa'
20-07-2018,78571,78571,1.4,77499.69,77500,78887,79489,13033821589,1490608,78283.5,78476.42716802719,0,'alta'
19-07-2018,77487,77487,0.16,77359.85,75890,76430,77487,10227246724,1041399,78029.0,78539.47572267574,0,'baixa'
18-07-2018,77363,77363,-0.98,78123.54,77164,77747,78496,9707947799,1036646,77425.0,77837.8252408919,0,'baixa'
17-07-2018,78130,78130,1.93,76652.52,76482,77811,78522,10353595627,1296999,77746.5,77521.2750802973,0,'alta'
16-07-2018,76653,76653,0.08,76587.39,76129,76452,76924,12351172267,1108367,77391.5,77927.09169343243,0,'baixa'
13-07-2018,76594,76594,0.97,75856.22,75554,76216,76682,9360395425,1136914,76623.5,77077.69723114415,0,'baixa'
12-07-2018,75857,75857,1.96,74402.98,74403,75489,75898,9702767354,1196849,76225.5,76755.23241038139,0,'baixa'
11-07-2018,74399,74399,-0.6,74862.38,74196,74587,75025,9893644275,1056755,75128.0,76156.41080346046,0,'baixa'
10-07-2018,74847,74847,-0.22,75015.1,74431,75002,75895,10730334400,1211772,74623.0,74984.80360115349,0,'alta'
06-07-2018,75010,75010,0.61,74557.62,74048,74729,75065,6750083903,870664,74928.5,74892.93453371782,0,'alta'
05-07-2018,74553,74553,-0.26,74751.02,73756,74466,75127,8772367225,1112316,74781.5,74970.97817790594,0,'baixa'
04-07-2018,74744,74744,1.46,73667.4,73450,74023,74904,5576416062,719536,74648.5,74692.32605930198,0,'alta'
03-07-2018,73668,73668,1.14,72847.84,72848,73844,74515,8188414824,1065182,74206.0,74726.77535310066,0,'baixa'
02-07-2018,72840,72840,0.11,72762.51,71935,72384,72840,6640721967,839602,73254.0,74020.92511770022,0,'baixa'
29-06-2018,72763,72763,1.39,71779.05,71779,72576,73020,10021230487,1279903,72801.5,73233.64170590007,0,'baixa'
28-06-2018,71767,71767,1.64,70609,70439,71385,72092,8715696065,1090336,72265.0,72919.88056863335,0,'baixa'
27-06-2018,70609,70609,-1.11,71405.26,70134,71008,72032,8714195055,1199943,71188.0,72151.29352287778,0,'baixa'
26-06-2018,71405,71405,0.64,70967.67,70203,70859,71622,8581923483,1085984,71007.0,71123.09784095926,0,'alta'
25-06-2018,70953,70953,0.44,70641.99,69779,70504,71323,8462003486,1077935,71179.0,71311.0326136531,0,'baixa'
22-06-2018,70641,70641,0.81,70076.53,69907,70487,71058,7415907949,949979,70797.0,71072.34420455103,0,'baixa'
21-06-2018,70075,70075,-2.84,72117.36,70019,70935,72207,8574961078,1263030,70358.0,70784.78140151702,0,'baixa'
20-06-2018,72123,72123,1.02,71396.77,71155,71846,72617,11172777404,1298952,71099.0,70311.59380050567,0,'alta'
19-06-2018,71394,71394,2.26,69811.36,69069,71038,72010,13052807717,1556350,71758.5,71519.19793350188,0,'baixa'
18-06-2018,69815,69815,-1.33,70757.06,69360,69883,70757,14315881116,1232614,70604.5,71435.73264450063,0,'baixa'
15-06-2018,70757,70757,-0.93,71420.52,69583,70327,71421,12108393771,1672798,70286.0,70355.24421483354,0,'alta'
14-06-2018,71421,71421,-0.97,72151.33,71344,71946,72708,11222156470,1400572,71089.0,70623.08140494452,0,'alta'
13-06-2018,72122,72122,-0.87,72756.83,71035,72064,72977,33772109053,1476637,71771.5,71155.0271349815,0,'alta'
12-06-2018,72754,72754,0.62,72308.33,72124,72691,73322,9744137479,1351732,72438.0,71799.6757116605,0,'alta'
11-06-2018,72308,72308,-0.87,72942.52,71843,72644,73716,9707213968,1354802,72531.0,72435.89190388683,0,'baixa'
08-06-2018,72942,72942,-1.23,73847.88,71679,72868,74031,15001330138,1934851,72625.0,72350.63063462895,0,'alta'
07-06-2018,73851,73851,-2.98,76117.22,71162,73460,76117,20490427445,2428069,73396.5,72744.87687820964,0,'alta'
06-06-2018,76117,76117,-0.68,76641.03,75518,76105,76967,13053497411,1506342,74984.0,73482.29229273654,0,'alta'
05-06-2018,76642,76642,-2.49,78595.23,76412,77659,78892,12140796506,1433307,76379.5,75238.76409757885,0,'alta'
04-06-2018,78596,78596,1.76,77243.91,77244,78313,78637,16595353890,1272755,77619.0,76174.25469919296,0,'alta'
01-06-2018,77240,77240,0.63,76779.38,75524,77031,78169,14861071573,1719049,77918.0,77788.75156639765,0,'baixa'
30-05-2018,76754,76754,0.9,76057.54,75515,76493,77097,21512773040,1866560,76997.0,77422.91718879921,0,'baixa'
29-05-2018,76072,76072,0.95,75361.05,75361,76402,77214,15845094655,2042559,76413.0,76976.9723962664,0,'baixa'
28-05-2018,75356,75356,-4.49,78886.48,75337,76319,78886,11001070989,1439591,75714.0,76373.65746542213,0,'baixa'
25-05-2018,78898,78898,-1.53,80123.45,78622,79439,80629,12288720173,1421778,77127.0,75695.21915514072,0,'alta'
24-05-2018,80122,80122,-0.92,80859.8,79027,79699,80860,16574425657,1676536,79510.0,77830.40638504691,0,'alta'
23-05-2018,80867,80867,-2.26,82741.54,80867,81413,82742,11278921390,1301793,80494.5,79358.13546168231,0,'alta'
22-05-2018,82739,82739,1.13,81817.42,81613,82442,83396,14125302301,1550223,81803.0,80364.0451538941,0,'alta'
21-05-2018,81815,81815,-1.52,83095.39,81576,82526,83883,20894264792,1377422,82277.0,81947.34838463136,0,'baixa'
18-05-2018,83082,83082,-0.65,83613.64,81391,82399,83614,17804446988,1859928,82448.5,81859.11612821046,0,'alta'
17-05-2018,83622,83622,-3.37,86536.52,83377,84690,86537,17325973508,1780658,83352.0,82674.37204273682,0,'alta'
16-05-2018,86537,86537,1.65,85121.64,85044,86337,86678,12225725831,1298016,85079.5,83306.12401424561,0,'alta'
15-05-2018,85130,85130,-0.12,85224.78,83830,84764,85231,14003819607,1687183,85833.5,85460.04133808186,0,'baixa'
14-05-2018,85232,85232,0.01,85221.9,84688,85437,86105,12274015310,1514727,85181.0,85240.01377936063,0,'alta'
11-05-2018,85220,85220,-0.75,85861.42,85183,85671,86406,13086772992,1438374,85226.0,85234.67125978688,0,'baixa'
10-05-2018,85861,85861,1.89,84283.91,84284,85588,86201,14842404881,1574139,85540.5,85224.89041992895,0,'alta'
09-05-2018,84265,84265,1.58,82977.48,82855,83825,84447,14113712268,1557258,85063.0,85648.96347330965,0,'baixa'
